2000 2000 20 0
1675 501 23 20 1
14 1777 26 20 1
1667 1502 20 20 1
1782 1134 25 20 1
1464 1927 20 20 1
1861 1970 32 20 1
1403 434 29 20 1
1858 701 34 20 1
172 958 31 20 1
290 1862 25 20 1
146 1541 28 20 1
1752 288 26 20 1
496 1702 31 20 1
1068 1985 21 20 1
766 1833 29 20 1
1330 441 33 20 1
335 1344 37 20 1
218 2 26 20 1
847 1 39 20 1
1137 311 24 20 1
1928 998 23 20 1
282 1332 22 20 1
1433 141 22 20 1
33 1605 31 20 1
1099 324 21 20 1
1467 1246 21 20 1
1865 1220 22 20 1
1535 361 35 20 1
922 603 39 20 1
347 1688 25 20 1
437 1678 35 20 1
130 772 22 20 1
1023 349 31 20 1
774 1870 36 20 1
350 1911 28 20 1
182 279 31 20 1
910 464 28 20 1
1612 344 37 20 1
605 1645 26 20 1
1949 1705 20 20 1
1970 1417 23 20 1
951 1835 34 20 1
637 486 26 20 1
197 1560 34 20 1
1090 545 36 20 1
1249 1527 36 20 1
223 1379 27 20 1
299 1246 33 20 1
1728 1073 22 20 1
1117 79 27 20 1
985 1299 38 20 1
358 1896 26 20 1
1764 1970 30 20 1
240 370 20 20 1
1616 190 38 20 1
75 1586 31 20 1
1608 1027 22 20 1
1422 245 21 20 1
1514 1619 26 20 1
1806 604 22 20 1
164 1055 26 20 1
131 388 22 20 1
434 430 25 20 1
1635 163 37 20 1
1504 752 38 20 1
242 489 33 20 1
52 600 29 20 1
386 1816 27 20 1
571 627 31 20 1
186 187 36 20 1
817 262 27 20 1
1773 425 34 20 1
1289 1196 30 20 1
671 804 34 20 1
815 477 28 20 1
1408 980 27 20 1
1532 1539 31 20 1
1368 1967 36 20 1
1969 1003 21 20 1
130 1474 34 20 1
1756 373 24 20 1
1964 1808 20 20 1
974 350 20 20 1
1625 1545 34 20 1
977 1811 20 20 1
1733 1795 39 20 1
74 1507 25 20 1
220 1364 23 20 1
703 892 20 20 1
168 1518 32 20 1
1369 1576 25 20 1
499 902 27 20 1
1116 1867 34 20 1
869 1085 30 20 1
871 1000 24 20 1
560 627 32 20 1
1373 524 24 20 1
436 348 34 20 1
874 61 20 20 1
1893 1852 35 20 1
1873 1626 30 20 1
1647 1947 27 20 1
1133 1868 29 20 1
1311 1836 21 20 1
760 1480 22 20 1
1355 130 38 20 1
1056 1854 29 20 1
1032 172 33 20 1
1722 1901 35 20 1
1258 594 30 20 1
902 1818 27 20 1
1221 276 39 20 1
342 1658 30 20 1
624 1217 28 20 1
1719 518 34 20 1
1069 1592 31 20 1
144 717 28 20 1
1540 1278 20 20 1
586 851 34 20 1
1115 1346 28 20 1
331 471 32 20 1
1476 1388 20 20 1
326 508 36 20 1
1561 48 27 20 1
410 819 31 20 1
642 1313 21 20 1
638 1864 20 20 1
1589 981 35 20 1
1522 213 35 20 1
198 1242 20 20 1
731 1268 30 20 1
834 876 26 20 1
1986 374 28 20 1
155 572 20 20 1
1226 1270 28 20 1
1919 1558 31 20 1
1742 1395 38 20 1
946 68 37 20 1
1904 507 25 20 1
116 315 34 20 1
1327 759 27 20 1
1628 1966 33 20 1
624 1218 34 20 1
947 147 38 20 1
1432 1146 21 20 1
1389 164 28 20 1
415 223 30 20 1
1041 401 29 20 1
598 1196 28 20 1
974 1824 25 20 1
467 893 38 20 1
1383 209 21 20 1
288 329 25 20 1
277 193 34 20 1
837 394 29 20 1
509 165 37 20 1
1154 138 36 20 1
131 1778 30 20 1
1356 1078 32 20 1
1925 788 31 20 1
225 1314 30 20 1
953 640 23 20 1
1538 1994 38 20 1
1041 136 39 20 1
1190 15 23 20 1
1961 1658 26 20 1
909 1344 30 20 1
1867 1197 22 20 1
1674 145 24 20 1
1391 512 35 20 1
540 1900 37 20 1
677 1694 32 20 1
38 808 28 20 1
1473 1395 31 20 1
1887 1398 30 20 1
184 112 30 20 1
713 1137 39 20 1
753 252 21 20 1
1131 1795 20 20 1
388 322 28 20 1
1811 350 26 20 1
1980 720 39 20 1
1695 1848 30 20 1
1918 1369 32 20 1
1993 1309 34 20 1
1882 534 39 20 1
1210 559 29 20 1
228 1248 30 20 1
1368 1701 30 20 1
643 1255 22 20 1
1100 827 22 20 1
1368 1814 20 20 1
1965 121 25 20 1
66 1096 21 20 1
1917 455 20 20 1
1419 1728 29 20 1
806 1399 27 20 1
448 501 31 20 1
1248 366 32 20 1
1871 1241 32 20 1
1675 1753 27 20 1
1775 885 29 20 1
313 4 24 20 1
134 1681 35 20 1
1706 778 21 20 1
937 807 35 20 1
1606 306 26 20 1
621 1571 20 20 1
428 688 36 20 1
668 345 27 20 1
1143 87 29 20 1
73 1949 22 20 1
1487 521 26 20 1
451 735 39 20 1
888 323 35 20 1
1977 563 21 20 1
76 1753 39 20 1
1449 390 24 20 1
1757 1584 31 20 1
71 1463 29 20 1
362 1009 26 20 1
271 1968 34 20 1
1315 892 30 20 1
1540 1743 32 20 1
1580 208 35 20 1
89 724 31 20 1
296 162 22 20 1
674 1783 22 20 1
684 1125 22 20 1
519 1572 34 20 1
1449 496 34 20 1
136 1525 29 20 1
249 1585 24 20 1
1915 7 39 20 1
1170 1987 25 20 1
1471 1532 25 20 1
996 1742 34 20 1
1501 312 31 20 1
635 1042 26 20 1
56 216 30 20 1
1251 145 38 20 1
940 1547 35 20 1
307 1615 33 20 1
1331 992 25 20 1
741 1851 35 20 1
564 190 28 20 1
347 700 26 20 1
1716 597 35 20 1
286 1632 33 20 1
605 1456 38 20 1
1619 76 25 20 1
989 616 20 20 1
1818 491 32 20 1
928 454 36 20 1
1533 984 32 20 1
670 784 27 20 1
1129 1611 27 20 1
331 1437 34 20 1
1226 1663 30 20 1
429 1967 30 20 1
1514 994 29 20 1
158 1862 25 20 1
1694 1874 39 20 1
460 1980 33 20 1
1506 1065 24 20 1
1437 1125 24 20 1
1141 426 38 20 1
1741 960 38 20 1
917 670 36 20 1
1414 450 25 20 1
1655 85 29 20 1
1235 785 35 20 1
1696 1567 21 20 1
222 922 23 20 1
1230 652 20 20 1
890 744 36 20 1
1647 1048 32 20 1
607 1341 27 20 1
922 1067 32 20 1
1322 428 26 20 1
132 759 25 20 1
1554 1274 38 20 1
1186 1296 26 20 1
235 103 37 20 1
1966 1650 34 20 1
554 1621 39 20 1
1735 1789 25 20 1
406 1431 22 20 1
1356 629 33 20 1
354 587 35 20 1
1282 1244 32 20 1
1332 929 23 20 1
293 1939 20 20 1
271 1215 31 20 1
1006 1594 36 20 1
1644 1139 24 20 1
353 1199 36 20 1
414 1540 35 20 1
495 649 23 20 1
1643 462 32 20 1
300 198 20 20 1
84 35 33 20 1
1988 491 28 20 1
1467 1344 21 20 1
1120 1821 36 20 1
1931 403 29 20 1
1066 1263 38 20 1
1333 1359 29 20 1
1203 1604 36 20 1
575 210 31 20 1
1198 220 35 20 1
1349 1552 22 20 1
1419 1764 29 20 1
1092 1914 21 20 1
413 736 20 20 1
376 713 24 20 1
935 461 20 20 1
749 923 25 20 1
952 216 26 20 1
267 73 34 20 1
38 199 20 20 1
476 1105 38 20 1
1463 1809 38 20 1
465 667 20 20 1
1414 1040 30 20 1
877 612 34 20 1
1260 226 25 20 1
165 680 26 20 1
1990 1258 30 20 1
594 404 28 20 1
1994 971 39 20 1
1118 930 31 20 1
1432 1868 21 20 1
1853 385 27 20 1
85 120 33 20 1
458 124 38 20 1
320 934 36 20 1
1229 1784 32 20 1
744 1694 27 20 1
451 158 33 20 1
735 1328 23 20 1
771 1996 22 20 1
1555 936 36 20 1
676 1546 33 20 1
194 1271 24 20 1
1951 189 36 20 1
243 1070 37 20 1
1119 1676 25 20 1
938 972 21 20 1
61 1023 24 20 1
1093 519 20 20 1
1147 1414 22 20 1
1454 376 22 20 1
1198 198 38 20 1
71 1650 23 20 1
356 807 33 20 1
978 1127 32 20 1
804 534 28 20 1
64 1481 39 20 1
81 258 23 20 1
753 32 37 20 1
448 996 39 20 1
1102 1568 35 20 1
672 40 39 20 1
541 734 26 20 1
1064 1634 28 20 1
1253 211 37 20 1
1049 707 23 20 1
588 248 21 20 1
906 660 25 20 1
1898 1262 37 20 1
1467 877 25 20 1
390 272 28 20 1
1412 454 33 20 1
1753 1493 38 20 1
713 507 32 20 1
1525 1161 29 20 1
1503 628 36 20 1
730 176 38 20 1
669 1271 31 20 1
910 1733 20 20 1
906 164 38 20 1
1944 1955 33 20 1
872 533 23 20 1
203 1778 36 20 1
1193 102 37 20 1
1041 661 36 20 1
979 1432 29 20 1
933 392 25 20 1
1886 687 36 20 1
1885 600 33 20 1
1195 1411 23 20 1
1762 698 35 20 1
39 492 28 20 1
875 708 22 20 1
1763 1786 22 20 1
442 670 36 20 1
1950 387 39 20 1
625 823 25 20 1
920 829 38 20 1
602 113 25 20 1
932 1644 23 20 1
775 1912 23 20 1
1076 1709 33 20 1
304 963 36 20 1
396 189 22 20 1
1563 1592 26 20 1
1600 1325 26 20 1
290 1640 38 20 1
1817 1166 24 20 1
349 1581 37 20 1
952 791 39 20 1
252 902 23 20 1
1178 877 31 20 1
1726 99 23 20 1
1707 328 39 20 1
212 639 29 20 1
1972 987 20 20 1
551 1049 28 20 1
697 856 34 20 1
12 1094 36 20 1
1045 1575 21 20 1
686 646 37 20 1
901 976 32 20 1
287 719 30 20 1
142 636 39 20 1
301 1095 34 20 1
1428 553 27 20 1
1997 607 39 20 1
1431 1724 20 20 1
706 1138 25 20 1
53 919 24 20 1
1778 25 24 20 1
1906 330 28 20 1
1075 603 38 20 1
1186 1087 20 20 1
1698 232 30 20 1
663 384 24 20 1
878 1565 26 20 1
1360 1165 29 20 1
285 1503 29 20 1
1802 586 24 20 1
598 1230 28 20 1
1139 596 32 20 1
1838 571 36 20 1
320 544 32 20 1
1710 373 31 20 1
1463 1488 25 20 1
399 1370 32 20 1
1819 1475 20 20 1
1974 1006 20 20 1
563 1672 29 20 1
1238 1226 22 20 1
56 117 38 20 1
792 1417 21 20 1
1283 1077 32 20 1
921 1086 38 20 1
1663 1519 36 20 1
317 803 39 20 1
116 155 38 20 1
1374 437 37 20 1
699 1084 25 20 1
811 162 22 20 1
573 1211 21 20 1
1533 393 33 20 1
686 1507 20 20 1
1399 1249 22 20 1
1179 638 24 20 1
476 1236 25 20 1
755 1268 29 20 1
653 39 33 20 1
346 1574 34 20 1
1125 10 34 20 1
1094 1442 22 20 1
813 1211 26 20 1
1597 188 31 20 1
1648 296 34 20 1
1273 460 38 20 1
459 1847 36 20 1
1671 1993 26 20 1
240 358 39 20 1
1500 1640 37 20 1
1607 680 35 20 1
278 84 21 20 1
1916 1034 36 20 1
1353 570 37 20 1
1073 1699 34 20 1
145 198 34 20 1
1709 1240 34 20 1
1640 523 34 20 1
451 1238 33 20 1
711 100 32 20 1
1535 1985 39 20 1
560 1994 35 20 1
1832 232 34 20 1
1987 73 33 20 1
590 1488 36 20 1
1713 198 36 20 1
168 1991 37 20 1
282 85 22 20 1
1025 1635 25 20 1
656 98 31 20 1
1335 802 36 20 1
297 1044 20 20 1
42 1938 33 20 1
1567 493 23 20 1
1176 279 31 20 1
594 711 28 20 1
264 1154 22 20 1
705 97 28 20 1
1387 693 34 20 1
170 1977 21 20 1
182 1883 25 20 1
175 351 30 20 1
1875 458 23 20 1
437 900 22 20 1
94 1093 28 20 1
999 1429 38 20 1
1895 1297 36 20 1
473 1938 22 20 1
1235 41 32 20 1
431 411 29 20 1
320 1026 35 20 1
1122 585 32 20 1
181 1828 25 20 1
682 1568 29 20 1
522 852 26 20 1
1545 704 22 20 1
736 1721 25 20 1
1055 611 23 20 1
180 1492 25 20 1
1512 274 31 20 1
586 512 35 20 1
1703 481 22 20 1
1809 177 31 20 1
419 1044 29 20 1
218 851 25 20 1
1456 539 22 20 1
1878 578 37 20 1
1124 59 27 20 1
407 1807 30 20 1
1627 929 31 20 1
659 1173 29 20 1
1634 1396 36 20 1
895 689 22 20 1
7 1075 32 20 1
182 1520 38 20 1
1349 768 30 20 1
33 1053 31 20 1
1250 1842 35 20 1
1230 1670 33 20 1
887 1448 23 20 1
522 344 25 20 1
1987 400 28 20 1
922 1112 36 20 1
459 1330 31 20 1
919 87 38 20 1
260 1579 22 20 1
1260 1894 33 20 1
975 155 23 20 1
584 983 26 20 1
1231 766 38 20 1
504 581 35 20 1
1535 537 21 20 1
1634 786 20 20 1
380 864 27 20 1
456 1268 31 20 1
312 979 26 20 1
1612 300 29 20 1
1379 535 28 20 1
1413 1839 34 20 1
1865 332 20 20 1
1926 125 20 20 1
1912 1187 24 20 1
20 888 36 20 1
1343 604 22 20 1
1872 574 36 20 1
1371 376 35 20 1
1155 906 33 20 1
914 789 28 20 1
1693 1295 30 20 1
1653 149 27 20 1
563 1966 31 20 1
1129 175 35 20 1
267 508 36 20 1
710 1680 28 20 1
348 576 26 20 1
13 274 34 20 1
702 1925 30 20 1
1462 722 20 20 1
814 805 38 20 1
1327 686 36 20 1
1379 698 39 20 1
1063 535 34 20 1
1605 1978 38 20 1
1325 1298 20 20 1
1273 978 21 20 1
1448 1836 29 20 1
945 577 26 20 1
12 1212 30 20 1
1086 723 38 20 1
893 1434 21 20 1
1299 906 31 20 1
1709 2 38 20 1
832 1171 25 20 1
724 1646 28 20 1
1976 51 21 20 1
333 1356 22 20 1
749 1396 23 20 1
1891 355 35 20 1
1374 1216 30 20 1
1653 648 33 20 1
195 1102 23 20 1
484 1141 22 20 1
1679 496 29 20 1
354 765 39 20 1
1220 1247 30 20 1
200 519 35 20 1
154 1909 34 20 1
521 987 20 20 1
1080 1246 35 20 1
633 1057 33 20 1
1298 967 37 20 1
413 48 35 20 1
363 304 27 20 1
403 1738 36 20 1
1521 57 35 20 1
386 1717 28 20 1
1159 871 26 20 1
858 839 21 20 1
1368 1213 39 20 1
1605 588 24 20 1
460 1805 23 20 1
1108 615 31 20 1
1714 1629 23 20 1
1602 795 28 20 1
876 236 39 20 1
1852 174 24 20 1
1203 266 30 20 1
222 1567 22 20 1
571 626 20 20 1
1305 92 21 20 1
683 1692 36 20 1
1810 1842 23 20 1
563 668 23 20 1
681 1931 25 20 1
1881 286 23 20 1
519 342 33 20 1
92 1627 21 20 1
958 1807 37 20 1
1257 561 34 20 1
602 134 36 20 1
797 455 31 20 1
308 1 32 20 1
721 531 32 20 1
1568 1292 39 20 1
1157 873 28 20 1
1385 1841 27 20 1
566 1195 28 20 1
1684 1129 35 20 1
1864 365 29 20 1
1061 1746 27 20 1
652 1580 20 20 1
89 744 32 20 1
1208 1047 39 20 1
552 466 23 20 1
1609 1154 20 20 1
600 406 38 20 1
1610 909 28 20 1
407 332 31 20 1
1440 1975 21 20 1
1625 598 28 20 1
849 1010 33 20 1
440 1415 37 20 1
206 124 32 20 1
545 70 36 20 1
489 1606 22 20 1
1817 1142 35 20 1
1187 1906 30 20 1
1887 395 23 20 1
954 439 33 20 1
861 563 24 20 1
1594 1461 20 20 1
970 1205 24 20 1
371 1378 36 20 1
1537 1812 33 20 1
1353 1163 23 20 1
410 203 25 20 1
173 850 20 20 1
1619 380 31 20 1
975 165 21 20 1
451 1465 29 20 1
1771 268 39 20 1
607 958 21 20 1
175 495 22 20 1
1354 1129 39 20 1
934 216 25 20 1
1693 529 23 20 1
1678 663 37 20 1
1734 49 33 20 1
41 1271 34 20 1
1861 1395 39 20 1
434 272 22 20 1
1599 608 28 20 1
1123 1219 36 20 1
989 98 34 20 1
1384 1440 24 20 1
1563 1156 39 20 1
1709 171 30 20 1
115 1884 34 20 1
666 1469 23 20 1
1014 1600 24 20 1
1685 707 39 20 1
129 1363 24 20 1
1371 1863 29 20 1
1413 1413 36 20 1
1135 1274 37 20 1
809 1570 32 20 1
1546 409 22 20 1
179 669 38 20 1
1628 1169 24 20 1
768 1013 23 20 1
609 331 28 20 1
169 318 24 20 1
502 285 24 20 1
202 1168 30 20 1
1754 1217 23 20 1
769 1440 30 20 1
1925 899 33 20 1
804 1296 21 20 1
763 217 23 20 1
710 1899 28 20 1
1491 1520 20 20 1
1470 1038 26 20 1
1929 1649 36 20 1
1708 1558 37 20 1
818 476 21 20 1
572 1428 21 20 1
807 742 37 20 1
1747 1310 31 20 1
1027 1950 35 20 1
479 781 21 20 1
1167 1248 35 20 1
222 1092 34 20 1
148 1026 26 20 1
389 911 24 20 1
1243 1099 31 20 1
810 735 23 20 1
619 281 37 20 1
1773 549 33 20 1
1931 1481 22 20 1
108 749 22 20 1
1957 680 36 20 1
178 765 30 20 1
1422 1925 27 20 1
76 449 21 20 1
1875 555 20 20 1
1231 1043 31 20 1
1804 1453 31 20 1
135 1953 34 20 1
480 524 32 20 1
864 1723 35 20 1
1624 1675 23 20 1
459 244 33 20 1
1956 232 21 20 1
793 1887 39 20 1
1714 902 31 20 1
637 1672 22 20 1
1582 816 20 20 1
438 1005 28 20 1
741 514 34 20 1
1454 617 36 20 1
1070 686 30 20 1
1660 875 30 20 1
140 1795 31 20 1
828 620 36 20 1
320 1692 34 20 1
344 1944 22 20 1
1368 803 20 20 1
188 1325 32 20 1
1036 982 36 20 1
1212 751 22 20 1
1884 1850 35 20 1
423 1467 33 20 1
666 862 33 20 1
472 1408 22 20 1
1376 1927 34 20 1
26 447 34 20 1
613 1686 33 20 1
1322 753 26 20 1
1482 150 28 20 1
1374 1802 25 20 1
1843 1718 22 20 1
1747 1211 31 20 1
522 1935 39 20 1
536 1558 23 20 1
918 1749 31 20 1
310 802 31 20 1
1600 734 26 20 1
269 266 32 20 1
1596 741 20 20 1
1675 973 20 20 1
669 1701 28 20 1
1420 1282 30 20 1
1387 742 31 20 1
36 870 39 20 1
892 1411 26 20 1
673 736 25 20 1
1129 420 22 20 1
1947 1652 27 20 1
356 484 38 20 1
1211 1274 38 20 1
234 1521 29 20 1
76 1834 33 20 1
255 346 31 20 1
100 1851 23 20 1
1088 1776 35 20 1
824 1757 26 20 1
1477 245 37 20 1
1040 865 28 20 1
987 1077 33 20 1
1735 1880 26 20 1
488 409 34 20 1
616 1617 35 20 1
829 564 38 20 1
1270 1185 34 20 1
1049 481 39 20 1
459 1283 29 20 1
2 536 25 20 1
1117 258 26 20 1
882 1218 22 20 1
109 1971 25 20 1
994 934 27 20 1
1728 471 30 20 1
1179 769 36 20 1
1337 167 38 20 1
1846 1073 30 20 1
48 334 23 20 1
1482 665 24 20 1
1952 311 32 20 1
1229 1222 30 20 1
1497 278 22 20 1
1704 1957 31 20 1
1561 1706 20 20 1
493 679 36 20 1
1965 1376 22 20 1
1897 75 23 20 1
1347 891 31 20 1
1009 1076 28 20 1
1363 189 21 20 1
1846 701 20 20 1
357 1692 22 20 1
1774 405 27 20 1
27 1256 35 20 1
1070 1979 37 20 1
1568 300 26 20 1
1202 1065 29 20 1
578 906 36 20 1
1022 140 36 20 1
613 1515 35 20 1
820 578 22 20 1
892 717 38 20 1
653 240 21 20 1
1609 1663 29 20 1
1317 973 28 20 1
1853 1163 37 20 1
1674 210 27 20 1
855 1448 38 20 1
616 882 20 20 1
704 1686 31 20 1
862 272 31 20 1
1987 64 30 20 1
1338 565 34 20 1
971 360 22 20 1
706 1584 31 20 1
1876 1526 30 20 1
162 768 25 20 1
244 816 34 20 1
1008 1853 22 20 1
479 326 34 20 1
826 333 35 20 1
1489 501 22 20 1
543 345 36 20 1
1949 1159 23 20 1
1228 654 38 20 1
846 90 33 20 1
927 833 29 20 1
155 265 28 20 1
1399 1126 30 20 1
625 106 25 20 1
710 501 23 20 1
1633 873 33 20 1
1269 1877 24 20 1
1689 278 25 20 1
1731 169 23 20 1
604 557 32 20 1
502 94 22 20 1
1058 1046 31 20 1
439 1008 31 20 1
206 1667 23 20 1
1662 1052 23 20 1
1758 589 23 20 1
1886 1913 34 20 1
854 1286 37 20 1
1039 1480 25 20 1
1392 1750 25 20 1
1981 1025 28 20 1
624 1251 31 20 1
903 313 20 20 1
1530 634 30 20 1
483 134 25 20 1
1192 985 36 20 1
229 251 33 20 1
31 668 21 20 1
1259 237 20 20 1
336 922 31 20 1
1290 94 35 20 1
1511 1177 29 20 1
8 366 39 20 1
463 1048 26 20 1
1846 1856 35 20 1
799 1828 23 20 1
881 1423 39 20 1
1079 1784 39 20 1
1737 609 28 20 1
419 220 22 20 1
744 1611 32 20 1
1205 973 31 20 1
1862 1237 34 20 1
1642 1121 24 20 1
1475 1979 34 20 1
43 766 37 20 1
74 1555 27 20 1
1943 82 29 20 1
1922 407 34 20 1
1131 1769 33 20 1
263 1930 34 20 1
1597 1145 23 20 1
1353 676 24 20 1
930 1090 35 20 1
1285 1349 33 20 1
1311 30 30 20 1
960 516 31 20 1
1004 822 26 20 1
1754 646 32 20 1
1944 1230 31 20 1
626 1988 37 20 1
1996 700 28 20 1
1544 1939 21 20 1
783 1466 37 20 1
347 1915 34 20 1
1235 610 37 20 1
1845 832 20 20 1
1755 1199 34 20 1
1509 685 37 20 1
290 795 29 20 1
35 1602 37 20 1
825 995 29 20 1
119 1829 20 20 1
1818 1873 31 20 1
476 1762 33 20 1
1103 1103 35 20 1
1751 1100 28 20 1
1803 1295 21 20 1
1040 587 24 20 1
762 1387 23 20 1
502 1997 34 20 1
1997 348 38 20 1
830 1753 26 20 1
1548 339 39 20 1
439 1839 33 20 1
1134 474 39 20 1
1441 1960 29 20 1
1470 1561 25 20 1
1790 1288 26 20 1
1434 267 22 20 1
1051 538 36 20 1
1370 803 24 20 1
1638 1174 30 20 1
98 678 37 20 1
1762 860 21 20 1
66 265 24 20 1
858 63 35 20 1
614 1688 22 20 1
1817 163 38 20 1
28 256 32 20 1
2 1163 31 20 1
731 1444 35 20 1
1123 201 21 20 1
1005 914 31 20 1
1490 440 26 20 1
1181 542 35 20 1
979 552 26 20 1
1345 617 35 20 1
1726 1443 36 20 1
1296 1488 31 20 1
304 1362 38 20 1
1753 1162 31 20 1
1426 368 30 20 1
851 1243 25 20 1
531 879 30 20 1
1500 534 24 20 1
42 232 25 20 1
1978 1166 20 20 1
434 984 29 20 1
80 1924 31 20 1
1425 1262 22 20 1
466 404 26 20 1
1814 1812 35 20 1
1022 1541 32 20 1
1256 318 24 20 1
1030 1560 37 20 1
1681 784 37 20 1
723 1107 39 20 1
1152 1574 39 20 1
351 1683 35 20 1
454 1852 31 20 1
217 496 30 20 1
84 196 31 20 1
1663 518 33 20 1
1181 1744 22 20 1
443 606 38 20 1
1007 909 28 20 1
1011 821 29 20 1
722 33 33 20 1
363 1978 25 20 1
352 1393 20 20 1
1538 33 32 20 1
178 261 37 20 1
1140 1330 31 20 1
1836 1492 37 20 1
1013 290 27 20 1
1344 1231 35 20 1
787 1428 22 20 1
1428 451 28 20 1
1947 609 24 20 1
195 390 34 20 1
1216 1202 31 20 1
1300 228 31 20 1
24 22 29 20 1
261 388 24 20 1
0 613 35 20 1
1781 1539 27 20 1
646 1959 21 20 1
1801 1787 34 20 1
1290 1637 26 20 1
1280 304 36 20 1
1927 624 25 20 1
1535 715 37 20 1
53 964 28 20 1
1166 0 38 20 1
1573 1362 39 20 1
390 790 26 20 1
564 1690 27 20 1
1018 589 29 20 1
1712 1280 20 20 1
977 1712 33 20 1
1893 759 30 20 1
1252 540 33 20 1
719 1053 30 20 1
328 9 21 20 1
690 1608 30 20 1
314 618 38 20 1
233 1850 37 20 1
1334 286 33 20 1
814 500 26 20 1
286 388 22 20 1
1862 676 27 20 1
1178 427 37 20 1
367 197 33 20 1
1017 79 37 20 1
1477 1994 21 20 1
1792 1371 28 20 1
754 1044 24 20 1
1912 1473 23 20 1
97 241 22 20 1
1483 788 31 20 1
1850 1797 20 20 1
1407 83 28 20 1
1647 741 28 20 1
369 461 28 20 1
1242 656 27 20 1
850 1104 28 20 1
1332 28 35 20 1
1532 1699 35 20 1
226 549 37 20 1
1779 1704 35 20 1
544 1571 28 20 1
1075 1298 28 20 1
616 988 28 20 1
772 714 38 20 1
1229 255 30 20 1
1503 1079 39 20 1
53 910 36 20 1
1163 1701 27 20 1
1652 1532 33 20 1
163 894 22 20 1
188 1013 29 20 1
1998 1521 21 20 1
1042 1531 20 20 1
1221 1268 22 20 1
80 1000 38 20 1
972 624 22 20 1
572 48 30 20 1
1923 1189 23 20 1
1036 695 25 20 1
1904 266 33 20 1
951 1407 34 20 1
1345 1004 25 20 1
317 509 22 20 1
705 1970 23 20 1
41 869 33 20 1
864 230 30 20 1
1882 863 31 20 1
1752 924 29 20 1
394 973 25 20 1
193 474 29 20 1
1974 1165 24 20 1
1099 547 33 20 1
1214 1022 37 20 1
1736 250 33 20 1
1717 1640 31 20 1
517 668 27 20 1
1047 1863 32 20 1
1673 1365 27 20 1
372 379 34 20 1
1335 413 26 20 1
1248 200 30 20 1
644 1130 24 20 1
1063 396 27 20 1
55 1457 30 20 1
1370 248 26 20 1
1932 1344 25 20 1
1414 1031 33 20 1
1891 628 37 20 1
53 1628 29 20 1
879 1771 39 20 1
1268 1396 30 20 1
439 316 24 20 1
1259 113 24 20 1
1682 1631 33 20 1
492 1018 27 20 1
45 1740 38 20 1
1218 689 23 20 1
870 282 38 20 1
1085 925 27 20 1
1739 455 28 20 1
1174 1671 28 20 1
1800 588 32 20 1
702 1692 21 20 1
1216 756 26 20 1
1320 95 25 20 1
527 589 33 20 1
1492 967 34 20 1
905 751 38 20 1
1080 588 20 20 1
382 1572 29 20 1
1607 427 24 20 1
1312 826 31 20 1
1117 183 33 20 1
1108 203 32 20 1
1109 847 22 20 1
659 283 39 20 1
518 459 38 20 1
871 1221 35 20 1
151 88 36 20 1
1977 1472 27 20 1
183 505 34 20 1
61 1676 27 20 1
1472 966 31 20 1
427 552 39 20 1
1555 810 20 20 1
125 1162 39 20 1
1238 1437 38 20 1
1988 355 24 20 1
1621 1097 37 20 1
559 730 25 20 1
1944 1218 32 20 1
1014 463 26 20 1
1678 1885 38 20 1
1685 1830 34 20 1
1973 1663 32 20 1
1302 157 24 20 1
168 1363 27 20 1
1834 1640 27 20 1
330 261 23 20 1
193 1885 28 20 1
1072 318 36 20 1
1048 310 28 20 1
1755 1037 39 20 1
666 1377 29 20 1
134 1225 20 20 1
108 79 21 20 1
444 1122 29 20 1
542 122 38 20 1
1008 228 37 20 1
1952 981 25 20 1
1891 1254 26 20 1
1139 59 31 20 1
618 974 33 20 1
1700 948 37 20 1
1235 1893 31 20 1
833 307 33 20 1
211 1882 36 20 1
618 1967 29 20 1
919 1284 37 20 1
1344 1054 34 20 1
510 1452 35 20 1
1133 954 30 20 1
575 1676 21 20 1
1076 1583 33 20 1
1904 1029 25 20 1
565 1796 34 20 1
284 1705 38 20 1
1855 902 32 20 1
679 1555 21 20 1
1850 1914 21 20 1
1449 684 21 20 1
222 1660 37 20 1
566 840 29 20 1
1628 1486 20 20 1
125 973 26 20 1
541 635 30 20 1
425 1675 22 20 1
1590 1001 36 20 1
1352 666 28 20 1
584 1256 39 20 1
1696 1149 21 20 1
1053 1980 34 20 1
854 908 30 20 1
882 1533 34 20 1
464 733 32 20 1
1448 1913 21 20 1
1418 1671 28 20 1
1574 1984 29 20 1
512 1202 31 20 1
1471 637 26 20 1
175 13 24 20 1
1273 601 26 20 1
1688 863 37 20 1
1602 1040 25 20 1
1530 187 39 20 1
297 1226 22 20 1
1336 1350 39 20 1
1207 191 38 20 1
259 90 35 20 1
1725 723 21 20 1
823 1173 39 20 1
637 241 36 20 1
845 212 38 20 1
226 1357 29 20 1
1414 1698 36 20 1
1995 1590 25 20 1
1711 1269 39 20 1
191 1399 38 20 1
132 1794 21 20 1
440 1663 28 20 1
1981 737 37 20 1
890 1318 23 20 1
88 97 23 20 1
1509 347 28 20 1
187 1234 38 20 1
1071 1011 36 20 1
408 1709 30 20 1
1252 1253 26 20 1
1921 1479 25 20 1
610 1336 21 20 1
1177 606 33 20 1
926 888 30 20 1
1875 1118 27 20 1
288 7 30 20 1
912 729 36 20 1
1671 894 27 20 1
